product_handle	variant_title	sku	price_usd	price_usd_cents	acquisition_price_usd	acquisition_price_cents	manage_inventory	allow_backorder	option_1_name	option_1_value	option_2_name	option_2_value	option_3_name	option_3_value	weight	length	width	height	metadata_json
cbd-tincture-fso	500mg	TNC-FS-CBD-500	22.00	2200	10.50	1050	FALSE	TRUE	Strength (mg)	500					85.05	4	4	6	{"variant_description":"Total Hemp offers Proleve's 500mg Full Spectrum CBD Tincture to help show symptoms of anxiety and depression the door while summoning greater tranquility. Each 30 mL tincture bottle contains 500mg of the finest hemp-derived full spectrum CBD oil. The conveniently attached dropper makes it quick and easy to place a few drops under your tongue throughout the day. Every bottle contains two simple ingredients; premium CBD oil from hemp and MCT oil from coconuts. This Proleve tincture is proudly all natural, organic, non-GMO and gluten free, and contains the superior quality and purity that you can expect from Proleve.","variant_product_details":["Full Spectrum Oil from US grown hemp","Bottle contains 500mg full spectrum CBD","Third-party ISO lab tested","Vegan and gluten free","Our customers like this for: sleep promotion, anxiety reduction, alleviation of pain, and relief from depressive symptoms"],"variant_ingredients":"Premium CBD oil from hemp and MCT oil from coconuts"}
cbd-tincture-fso	1000mg	TNC-FS-CBD-1000	40.00	4000	21.00	2100	FALSE	TRUE	Strength (mg)	1000					85.05	4	4	6	{"variant_description":"Total Hemp offers Proleve's 1000mg Full Spectrum CBD Tincture to help banish stress and anxiety while inviting more peaceful sleep. Each 30 mL tincture bottle contains 1000mg of the finest hemp-derived full spectrum CBD oil. The conveniently attached dropper makes it quick and easy to place a few drops under your tongue throughout the day. Every bottle contains two simple ingredients; premium CBD oil from hemp and MCT oil from coconuts. This Proleve tincture is proudly all natural, organic, non-GMO and gluten free, and contains the superior quality and purity that you can expect from Proleve.","variant_product_details":["Full Spectrum Oil from US grown hemp","Bottle contains 1000mg full spectrum CBD","Third-party ISO lab tested","Vegan and gluten free","Our customers like this for: sleep promotion, anxiety reduction, alleviation of pain, and relief from depressive symptoms"],"variant_ingredients":"Premium CBD oil from hemp and MCT oil from coconuts"}
cbd-tincture-fso	2500mg	TNC-FS-CBD-2500	75.00	7500	45.00	4500	FALSE	TRUE	Strength (mg)	2500					85.05	4	4	6	{"variant_description":"Total Hemp offers Proleve's 2500mg Full Spectrum CBD Tincture to support more restful nights while dialing down discomfort and depression. Each 30 mL tincture bottle contains 2500mg of the finest hemp-derived full spectrum CBD oil. The conveniently attached dropper makes it quick and easy to place a few drops under your tongue throughout the day. Every bottle contains two simple ingredients; premium CBD oil from hemp and MCT oil from coconuts. This Proleve tincture is proudly all natural, organic, non-GMO and gluten free, and contains the superior quality and purity that you can expect from Proleve.","variant_product_details":["Full Spectrum Oil from US grown hemp","Bottle contains 2500mg full spectrum CBD","Third-party ISO lab tested","Vegan and gluten free","Our customers like this for: sleep promotion, anxiety reduction, alleviation of pain, and relief from depressive symptoms"],"variant_ingredients":"Premium CBD oil from hemp and MCT oil from coconuts"}
cbd-tincture-fso	5000mg	TNC-FS-CBD-5000	130.00	13000	78.00	7800	FALSE	TRUE	Strength (mg)	5000					85.05	4	4	6	{"variant_description":"Total Hemp offers Proleve's 5000mg Full Spectrum CBD Tincture to battle pain and anxiety while supporting more restful nights. Each 30 mL tincture bottle contains 5000mg of the finest hemp-derived full spectrum CBD oil. The conveniently attached dropper makes it quick and easy to place a few drops under your tongue throughout the day. Every bottle contains two simple ingredients; premium CBD oil from hemp and MCT oil from coconuts. This Proleve tincture is proudly all natural, organic, non-GMO and gluten free, and contains the superior quality and purity that you can expect from Proleve.","variant_product_details":["Full Spectrum Oil from US grown hemp","Bottle contains 5000mg full spectrum CBD","Third-party ISO lab tested","Vegan and gluten free","Our customers like this for: sleep promotion, anxiety reduction, alleviation of pain, and relief from depressive symptoms"],"variant_ingredients":"Premium CBD oil from hemp and MCT oil from coconuts"}
cbd-tincture-bso	500mg	TNC-BS-CBD-500	22.00	2200	10.50	1050	FALSE	TRUE	Strength (mg)	500					85.05	4	4	6	{"variant_description":"Total Hemp offers Proleve's 500mg Broad Spectrum CBD Tincture to help conquer anxiety and discomfort while supporting improved sleep. Each 30 mL tincture bottle contains 500mg of the finest hemp-derived broad spectrum CBD oil. The conveniently attached dropper makes it quick and easy to place a few drops under your tongue throughout the day. Every bottle contains two simple ingredients; premium CBD oil from hemp and MCT oil from coconuts. This Proleve tincture is proudly all natural, organic, non-GMO and gluten free, and contains the superior quality and purity that you can expect from Proleve.","variant_product_details":["Broad Spectrum Oil from US grown hemp","Bottle contains 500mg broad spectrum CBD","Third-party ISO lab tested","Vegan and gluten free","Our customers like this for: sleep promotion, anxiety reduction, alleviation of pain, and relief from depressive symptoms"],"variant_ingredients":"Premium CBD oil from hemp and MCT oil from coconuts"} 
cbd-tincture-bso	1000mg	TNC-BS-CBD-1000	40.00	4000	21.00	2100	FALSE	TRUE	Strength (mg)	1000					85.05	4	4	6	{"variant_description":"Total Hemp offers Proleve's 1000mg Broad Spectrum CBD Tincture to help combat stress, pain, and anxiety. Each 30 mL tincture bottle contains 1000mg of the finest hemp-derived broad spectrum CBD oil. The conveniently attached dropper makes it quick and easy to place a few drops under your tongue throughout the day. Every bottle contains two simple ingredients; premium CBD oil from hemp and MCT oil from coconuts. This Proleve tincture is proudly all natural, organic, non-GMO and gluten free, and contains the superior quality and purity that you can expect from Proleve.","variant_product_details":["Broad Spectrum Oil from US grown hemp","Bottle contains 1000mg broad spectrum CBD","Third-party ISO lab tested","Vegan and gluten free","Our customers like this for: sleep promotion, anxiety reduction, alleviation of pain, and relief from depressive symptoms"],"variant_ingredients":"Premium CBD oil from hemp and MCT oil from coconuts"} 
cbd-tincture-bso	2500mg	TNC-BS-CBD-2500	75.00	7500	45.00	4500	FALSE	TRUE	Strength (mg)	2500					85.05	4	4	6	{"variant_description":"Total Hemp offers Proleve's 2500mg Broad Spectrum CBD Tincture to help yield to increased relaxation while allowing anxiety and depressive spirits to take a hike. Each 30 mL tincture bottle contains 2500mg of the finest hemp-derived broad spectrum CBD oil. The conveniently attached dropper makes it quick and easy to place a few drops under your tongue throughout the day. Every bottle contains two simple ingredients; premium CBD oil from hemp and MCT oil from coconuts. This Proleve tincture is proudly all natural, organic, non-GMO and gluten free, and contains the superior quality and purity that you can expect from Proleve.","variant_product_details":["Broad Spectrum Oil from US grown hemp","Bottle contains 2500mg broad spectrum CBD","Third-party ISO lab tested","Vegan and gluten free","Our customers like this for: sleep promotion, anxiety reduction, alleviation of pain, and relief from depressive symptoms"],"variant_ingredients":"Premium CBD oil from hemp and MCT oil from coconuts"} 
cbd-tincture-bso	5000mg	TNC-BS-CBD-5000	130.00	13000	78.00	7800	FALSE	TRUE	Strength (mg)	5000					85.05	4	4	6	{"variant_description":"Total Hemp offers Proleve's 5000mg Broad Spectrum CBD Tincture to help summon peaceful nights while taking the sharp edges off pain and stress. Each 30 mL tincture bottle contains 5000mg of the finest hemp-derived broad spectrum CBD oil. The conveniently attached dropper makes it quick and easy to place a few drops under your tongue throughout the day. Every bottle contains two simple ingredients; premium CBD oil from hemp and MCT oil from coconuts. This Proleve tincture is proudly all natural, organic, non-GMO and gluten free, and contains the superior quality and purity that you can expect from Proleve.","variant_product_details":["Broad Spectrum Oil from US grown hemp","Bottle contains 5000mg broad spectrum CBD","Third-party ISO lab tested","Vegan and gluten free","Our customers like this for: sleep promotion, anxiety reduction, alleviation of pain, and relief from depressive symptoms"],"variant_ingredients":"Premium CBD oil from hemp and MCT oil from coconuts"} 
cbd-capsules-isolate	25mg • 30ct	CAP-ISO-CBD-25-30CT	20.00	2000	10.00	1000	FALSE	TRUE	Strength (mg)	25					48.00	4	4	6	{"variant_description":"Total Hemp offers Proleve's 25mg CBD Isolate Capsules to help say goodbye to discomfort and anxiety and hello to more relaxation. Each capsule contains 25mg of zero‑THC pure CBD powder. Designed for those who prefer an easy‑to‑swallow form of CBD, these capsules come in a convenient 30‑count bottle. Each capsule is all natural, organic, non‑GMO, vegan, and gluten free, with the superior quality and purity you expect from Proleve.","variant_product_details":["THC Free CBD from US grown hemp","Serving size: 1 capsule","30 Count Bottle","Third-party ISO lab tested","Vegan ingredients","Neutral taste","Our customers like this for: the reduction of pain, anxiety, and sleeplessness"],"variant_ingredients":"Organic Coconut Flour, Vegetarian Capsules-HPMC (Hydroxy Propyl Methyl Cellulose), Hemp CBD Isolate\nPackaged in the same facility as peanuts, tree nuts, wheat, soy, and milk products."} 
cbd-capsules-isolate	50mg • 30ct	CAP-ISO-CBD-50-30CT	22.00	2200	11.00	1100	FALSE	TRUE	Strength (mg)	50					48.00	4	4	6	{"variant_description":"Total Hemp offers Proleve's 50mg CBD Isolate Capsules for those looking to conquer stress and discomfort without the taste of a gummy or tincture. Each capsule contains 50mg of zero‑THC pure CBD isolate powder. Each 30‑count bottle contains all‑natural, organic, non‑GMO, vegan, and gluten‑free capsules with the superior quality and purity you expect from Proleve.","variant_product_details":["THC Free CBD from US grown hemp","Serving size: 1 capsule","30 Count Bottle","Third-party ISO lab tested","Vegan ingredients","Neutral taste","Our customers like this for: the reduction of pain, anxiety, and sleeplessness"],"variant_ingredients":"Organic Coconut Flour, Vegetarian Capsules-HPMC (Hydroxy Propyl Methyl Cellulose), Hemp CBD Isolate\nPackaged in the same facility as peanuts, tree nuts, wheat, soy, and milk products."}
